feature_id,condition_rtn,bits_rtn,layer_rtn,corr_rtn,firing_rate_rtn,mean_activation_rtn,max_activation_rtn,active_rtn,survived_>0.9_rtn,damaged_<0.5_rtn,condition_prune,bits_prune,layer_prune,corr_prune,firing_rate_prune,mean_activation_prune,max_activation_prune,active_prune,survived_>0.9_prune,damaged_<0.5_prune,damage_rtn,damage_prune,rtn_survived,prune_survived,rtn_non_survived,prune_non_survived,rtn_damaged,prune_damaged,rtn_degraded,prune_degraded
151,RTN INT6,6,4,0.941628627211944,0.0016826923076923,0.0004357988125262,2.144066095352173,True,True,False,Magnitude pruning matched INT6,16,4,0.9286055840294132,0.0016826923076923,0.0004357988125262,2.144066095352173,True,True,False,0.05837137278805604,0.07139441597058682,True,True,False,False,False,False,False,False
152,RTN INT6,6,4,0.9620899620182808,0.0190504807692307,0.0071874259406915,2.728944778442383,True,True,False,Magnitude pruning matched INT6,16,4,0.9634674618351696,0.0190504807692307,0.0071874259406915,2.728944778442383,True,True,False,0.03791003798171921,0.036532538164830375,True,True,False,False,False,False,False,False
174,RTN INT6,6,4,0.9806755267598348,0.0023938301282051,0.0016802602316229,3.6520590782165527,True,True,False,Magnitude pruning matched INT6,16,4,0.9774099646333952,0.0023938301282051,0.0016802602316229,3.6520590782165527,True,True,False,0.019324473240165174,0.022590035366604755,True,True,False,False,False,False,False,False
177,RTN INT6,6,4,0.8913917914003864,0.0042518028846153,0.0012949700616538,2.733794689178467,True,False,False,Magnitude pruning matched INT6,16,4,0.9037173524037532,0.0042518028846153,0.0012949700616538,2.733794689178467,True,True,False,0.10860820859961362,0.09628264759624683,False,True,True,False,False,False,True,False
182,RTN INT6,6,4,0.7293445899677273,0.019365985576923,0.0076199022563508,4.329468727111816,True,False,False,Magnitude pruning matched INT6,16,4,0.8120416307071601,0.019365985576923,0.0076199022563508,4.329468727111816,True,False,False,0.27065541003227267,0.18795836929283993,False,False,True,True,False,False,True,True
183,RTN INT6,6,4,0.9752465684453842,0.0016977163461538,0.0005618313524442,6.930312156677246,True,True,False,Magnitude pruning matched INT6,16,4,0.9518223219892716,0.0016977163461538,0.0005618313524442,6.930312156677246,True,True,False,0.024753431554615846,0.048177678010728364,True,True,False,False,False,False,False,False
187,RTN INT6,6,4,0.9582146653745994,0.002764423076923,0.0009969597180875,5.039865970611572,True,True,False,Magnitude pruning matched INT6,16,4,0.9552744998063686,0.002764423076923,0.0009969597180875,5.039865970611572,True,True,False,0.04178533462540057,0.04472550019363142,True,True,False,False,False,False,False,False
193,RTN INT6,6,4,0.929557295480174,0.0049879807692307,0.0013244975301532,4.8698344230651855,True,True,False,Magnitude pruning matched INT6,16,4,0.9386724052804836,0.0049879807692307,0.0013244975301532,4.8698344230651855,True,True,False,0.07044270451982604,0.06132759471951643,True,True,False,False,False,False,False,False
218,RTN INT6,6,4,0.7474393516389272,0.0364232772435897,0.0080384189555516,3.1831088066101074,True,False,False,Magnitude pruning matched INT6,16,4,0.7939841478240612,0.0364232772435897,0.0080384189555516,3.1831088066101074,True,False,False,0.25256064836107284,0.20601585217593876,False,False,True,True,False,False,True,True
223,RTN INT6,6,4,0.8671865482289175,0.0223507612179487,0.0065748995734163,2.6388285160064697,True,False,False,Magnitude pruning matched INT6,16,4,0.9049184841345246,0.0223507612179487,0.0065748995734163,2.6388285160064697,True,True,False,0.1328134517710825,0.09508151586547542,False,True,True,False,False,False,True,False
