feature_id,condition_rtn,layer_rtn,corr_rtn,firing_rate_rtn,mean_activation_rtn,max_activation_rtn,active_rtn,survived_>0.9_rtn,damaged_<0.5_rtn,condition_prune,layer_prune,corr_prune,firing_rate_prune,mean_activation_prune,max_activation_prune,active_prune,survived_>0.9_prune,damaged_<0.5_prune,damage_rtn,damage_prune,rtn_survived,prune_survived,rtn_non_survived,prune_non_survived,rtn_damaged,prune_damaged,rtn_degraded,prune_degraded
89,RTN INT6,12,0.7122940910159871,0.0080965181771633,0.0312785039623914,8.997115135192871,True,False,False,Magnitude pruning matched INT6,12,0.630125909049597,0.0080965181771633,0.0312785039623914,8.997115135192871,True,False,False,0.28770590898401294,0.369874090950403,False,False,True,True,False,False,True,True
92,RTN INT6,12,0.8448904599131679,0.0012300787250384,0.0047980766372418,11.84710693359375,True,False,False,Magnitude pruning matched INT6,12,0.7959924598527974,0.0012300787250384,0.0047980766372418,11.84710693359375,True,False,False,0.1551095400868321,0.20400754014720257,False,False,True,True,False,False,True,True
94,RTN INT6,12,0.819793804030363,0.0057603686635944,0.0218864795244005,14.325729370117188,True,False,False,Magnitude pruning matched INT6,12,0.6834008449949569,0.0057603686635944,0.0218864795244005,14.325729370117188,True,False,False,0.18020619596963705,0.3165991550050431,False,False,True,True,False,False,True,True
95,RTN INT6,12,0.9431982932156464,0.0020441308243727,0.0100315473086777,29.71813201904297,True,True,False,Magnitude pruning matched INT6,12,0.9029100023145374,0.0020441308243727,0.0100315473086777,29.71813201904297,True,True,False,0.05680170678435359,0.09708999768546256,True,True,False,False,False,False,False,False
96,RTN INT6,12,0.7736572393730629,0.0021541378648233,0.0083026064104885,7.7680439949035645,True,False,False,Magnitude pruning matched INT6,12,0.6592566560183052,0.0021541378648233,0.0083026064104885,7.7680439949035645,True,False,False,0.22634276062693715,0.3407433439816948,False,False,True,True,False,False,True,True
97,RTN INT6,12,0.7434573549625848,0.0073784722222222,0.0282427650674628,8.811447143554688,True,False,False,Magnitude pruning matched INT6,12,0.658125573556478,0.0073784722222222,0.0282427650674628,8.811447143554688,True,False,False,0.2565426450374152,0.34187442644352195,False,False,True,True,False,False,True,True
98,RTN INT6,12,0.8762355081372666,0.0256316404249872,0.1047606197225394,11.888175964355469,True,False,False,Magnitude pruning matched INT6,12,0.8355232265012332,0.0256316404249872,0.1047606197225394,11.888175964355469,True,False,False,0.12376449186273342,0.16447677349876677,False,False,True,True,False,False,True,True
99,RTN INT6,12,0.8313484765124031,0.0016961085509472,0.0065928765024686,10.458017349243164,True,False,False,Magnitude pruning matched INT6,12,0.7819444300320649,0.0016961085509472,0.0065928765024686,10.458017349243164,True,False,False,0.16865152348759693,0.21805556996793507,False,False,True,True,False,False,True,True
100,RTN INT6,12,0.791893723667606,0.090145769329237,0.3490930459501686,8.383431434631348,True,False,False,Magnitude pruning matched INT6,12,0.7765053322953678,0.090145769329237,0.3490930459501686,8.383431434631348,True,False,False,0.20810627633239398,0.22349466770463222,False,False,True,True,False,False,True,True
101,RTN INT6,12,0.9914547890103246,0.0011140713005632,0.0097236936741221,25.87762451171875,True,True,False,Magnitude pruning matched INT6,12,0.9892849712849848,0.0011140713005632,0.0097236936741221,25.87762451171875,True,True,False,0.008545210989675422,0.010715028715015174,True,True,False,False,False,False,False,False
103,RTN INT6,12,0.8658920860372216,0.0120907738095238,0.0476718401050894,12.643472671508787,True,False,False,Magnitude pruning matched INT6,12,0.8113395881847472,0.0120907738095238,0.0476718401050894,12.643472671508787,True,False,False,0.13410791396277844,0.18866041181525284,False,False,True,True,False,False,True,True
104,RTN INT6,12,0.9485214030300498,0.0042922747055811,0.0215485439456034,25.30723762512207,True,True,False,Magnitude pruning matched INT6,12,0.9169636260910324,0.0042922747055811,0.0215485439456034,25.30723762512207,True,True,False,0.05147859696995016,0.08303637390896756,True,True,False,False,False,False,False,False
105,RTN INT6,12,0.8304305791022225,0.1029305875576036,0.460058004639688,17.39541244506836,True,False,False,Magnitude pruning matched INT6,12,0.7669693203165608,0.1029305875576036,0.460058004639688,17.39541244506836,True,False,False,0.1695694208977775,0.23303067968343916,False,False,True,True,False,False,True,True
108,RTN INT6,12,0.8499329017573295,0.0239215309779825,0.1003116282986842,20.216249465942383,True,False,False,Magnitude pruning matched INT6,12,0.7497238549577531,0.0239215309779825,0.1003116282986842,20.216249465942383,True,False,False,0.1500670982426705,0.25027614504224693,False,False,True,True,False,False,True,True
111,RTN INT6,12,0.7777475747815287,0.0022461437532002,0.0083123802098207,10.262476921081545,True,False,False,Magnitude pruning matched INT6,12,0.6894315735357004,0.0022461437532002,0.0083123802098207,10.262476921081545,True,False,False,0.22225242521847133,0.3105684264642996,False,False,True,True,False,False,True,True
112,RTN INT6,12,0.97629668447142,0.0055043522785458,0.0296523628410198,14.79216766357422,True,True,False,Magnitude pruning matched INT6,12,0.9483161804161796,0.0055043522785458,0.0296523628410198,14.79216766357422,True,True,False,0.02370331552857996,0.0516838195838204,True,True,False,False,False,False,False,False
113,RTN INT6,12,0.8833510922300637,0.1336625544034818,0.5625740744972757,14.2601318359375,True,False,False,Magnitude pruning matched INT6,12,0.8337037538235379,0.1336625544034818,0.5625740744972757,14.2601318359375,True,False,False,0.1166489077699363,0.1662962461764621,False,False,True,True,False,False,True,True
118,RTN INT6,12,0.9386141771695224,0.0046762992831541,0.0232654639061481,25.979848861694336,True,True,False,Magnitude pruning matched INT6,12,0.919240155558372,0.0046762992831541,0.0232654639061481,25.979848861694336,True,True,False,0.061385822830477554,0.08075984444162798,True,True,False,False,False,False,False,False
119,RTN INT6,12,0.9318817118088536,0.0014160906298003,0.0068028551534474,15.429738998413086,True,True,False,Magnitude pruning matched INT6,12,0.8639015528599593,0.0014160906298003,0.0068028551534474,15.429738998413086,True,False,False,0.0681182881911464,0.1360984471400407,True,False,False,True,False,False,False,True
132,RTN INT6,12,0.9898781527343848,0.0017421114951356,0.0120979571820861,19.0732421875,True,True,False,Magnitude pruning matched INT6,12,0.9850556921975284,0.0017421114951356,0.0120979571820861,19.0732421875,True,True,False,0.010121847265615158,0.01494430780247158,True,True,False,False,False,False,False,False
134,RTN INT6,12,0.9172276666518252,0.0855814772145417,0.4037052755407642,17.95911979675293,True,True,False,Magnitude pruning matched INT6,12,0.8653524573760909,0.0855814772145417,0.4037052755407642,17.95911979675293,True,False,False,0.0827723333481748,0.1346475426239091,True,False,False,True,False,False,False,True
136,RTN INT6,12,0.9791776670672928,0.0014940956221198,0.0083816767490435,21.03550148010254,True,True,False,Magnitude pruning matched INT6,12,0.9711705667406886,0.0014940956221198,0.0083816767490435,21.03550148010254,True,True,False,0.020822332932707188,0.02882943325931142,True,True,False,False,False,False,False,False
141,RTN INT6,12,0.8792312560939844,0.0015140969022017,0.0057337077051263,6.970288276672363,True,False,False,Magnitude pruning matched INT6,12,0.7918925568577885,0.0015140969022017,0.0057337077051263,6.970288276672363,True,False,False,0.12076874390601555,0.20810744314221152,False,False,True,True,False,False,True,True
148,RTN INT6,12,0.988431940227586,0.0010920698924731,0.0076135428678635,33.89839553833008,True,True,False,Magnitude pruning matched INT6,12,0.9826937677712856,0.0010920698924731,0.0076135428678635,33.89839553833008,True,True,False,0.011568059772414041,0.017306232228714413,True,True,False,False,False,False,False,False
152,RTN INT6,12,0.983134738978944,0.0014200908858166,0.0084191006729908,35.477413177490234,True,True,False,Magnitude pruning matched INT6,12,0.9802324810250156,0.0014200908858166,0.0084191006729908,35.477413177490234,True,True,False,0.01686526102105601,0.01976751897498441,True,True,False,False,False,False,False,False
153,RTN INT6,12,0.976480974089017,0.0033382136456733,0.0180795852617535,32.97678756713867,True,True,False,Magnitude pruning matched INT6,12,0.9682399108737716,0.0033382136456733,0.0180795852617535,32.97678756713867,True,True,False,0.023519025910982982,0.03176008912622841,True,True,False,False,False,False,False,False
155,RTN INT6,12,0.8237144903734015,0.0082405273937532,0.0355824604287125,13.13891315460205,True,False,False,Magnitude pruning matched INT6,12,0.816515992987541,0.0082405273937532,0.0355824604287125,13.13891315460205,True,False,False,0.1762855096265985,0.18348400701245904,False,False,True,True,False,False,True,True
156,RTN INT6,12,0.8198475047697752,0.0026421690988223,0.0109659221802522,17.22810173034668,True,False,False,Magnitude pruning matched INT6,12,0.7240390953558902,0.0026421690988223,0.0109659221802522,17.22810173034668,True,False,False,0.1801524952302248,0.27596090464410983,False,False,True,True,False,False,True,True
157,RTN INT6,12,0.912303406232421,0.0028201804915514,0.0125608827625017,13.199350357055664,True,True,False,Magnitude pruning matched INT6,12,0.8940738680492664,0.0028201804915514,0.0125608827625017,13.199350357055664,True,False,False,0.08769659376757899,0.10592613195073364,True,False,False,True,False,False,False,True
159,RTN INT6,12,0.7675269885279781,0.0104186667946748,0.0374672136866071,6.78130578994751,True,False,False,Magnitude pruning matched INT6,12,0.7013383776264316,0.0104186667946748,0.0374672136866071,6.78130578994751,True,False,False,0.23247301147202193,0.2986616223735684,False,False,True,True,False,False,True,True
161,RTN INT6,12,0.970475843286322,0.003096198156682,0.016597624977834,24.729331970214844,True,True,False,Magnitude pruning matched INT6,12,0.9589079131404236,0.003096198156682,0.016597624977834,24.729331970214844,True,True,False,0.02952415671367803,0.04109208685957644,True,True,False,False,False,False,False,False
163,RTN INT6,12,0.8721265088221872,0.0120227694572452,0.0487380514738731,15.928363800048828,True,False,False,Magnitude pruning matched INT6,12,0.7525136774852912,0.0120227694572452,0.0487380514738731,15.928363800048828,True,False,False,0.12787349117781277,0.2474863225147088,False,False,True,True,False,False,True,True
164,RTN INT6,12,0.8311530748827507,0.012456797235023,0.0472717776234584,17.775869369506836,True,False,False,Magnitude pruning matched INT6,12,0.7015039777023678,0.012456797235023,0.0472717776234584,17.775869369506836,True,False,False,0.1688469251172493,0.29849602229763217,False,False,True,True,False,False,True,True
165,RTN INT6,12,0.9862850687934872,0.0013520865335381,0.0087034091462142,34.284515380859375,True,True,False,Magnitude pruning matched INT6,12,0.9860789647622376,0.0013520865335381,0.0087034091462142,34.284515380859375,True,True,False,0.013714931206512793,0.013921035237762447,True,True,False,False,False,False,False,False
166,RTN INT6,12,0.997402140967984,0.0011420730926779,0.0139367589140496,45.58769989013672,True,True,False,Magnitude pruning matched INT6,12,0.9965786463960984,0.0011420730926779,0.0139367589140496,45.58769989013672,True,True,False,0.0025978590320160366,0.0034213536039016113,True,True,False,False,False,False,False,False
167,RTN INT6,12,0.8314220573062476,0.004956317204301,0.0192714542793315,17.079143524169922,True,False,False,Magnitude pruning matched INT6,12,0.7779276443190721,0.004956317204301,0.0192714542793315,17.079143524169922,True,False,False,0.16857794269375237,0.22207235568092787,False,False,True,True,False,False,True,True
173,RTN INT6,12,0.7824552560435305,0.0012460797491039,0.0048632541298484,13.196301460266112,True,False,False,Magnitude pruning matched INT6,12,0.5923728263780751,0.0012460797491039,0.0048632541298484,13.196301460266112,True,False,False,0.2175447439564695,0.4076271736219249,False,False,True,True,False,False,True,True
